Xpos,Ypos,m_z,mobility,inten,msFWHM,mobilityFWHM
0.0000,0.0000,236.7622,23.489,607,0.017231,2.032
0.0000,0.0000,417.0943,75.002,703,0.029045,2.527
0.0000,0.0000,627.2175,130.721,719,0.036933,2.994
0.0000,0.0000,134.8683,20.414,805,0.011287,2.360
0.0000,0.0000,132.8707,20.049,830,0.011251,2.519
0.0000,0.0000,230.7698,23.419,988,0.01402,2.269
0.0000,0.0000,249.9600,37.008,1208,0.013885,1.883
0.0000,0.0000,522.1533,101.570,1230,0.035309,2.990
0.0000,0.0000,284.0406,48.341,1428,0.016987,2.742
0.0000,0.0000,247.9622,37.103,1594,0.014409,1.815
0.0000,0.0000,389.0995,71.261,1762,0.021736,3.187
0.0000,0.0000,234.7666,23.793,2014,0.013363,2.067
0.0000,0.0000,232.7693,23.744,2658,0.014054,2.237
0.0000,0.0000,150.0600,29.300,6006,0.012122,2.400
0.0000,0.0000,236.7675,23.594,564,0.016867,2.500
0.0000,0.0000,284.0439,48.628,929,0.019331,2.514
0.0000,0.0000,389.0994,71.595,1024,0.022463,2.180
0.0000,0.0000,230.7702,23.932,1253,0.012871,1.934
0.0000,0.0000,234.7673,23.705,1628,0.015684,2.103
0.0000,0.0000,232.7691,23.833,2499,0.015675,2.162
0.0000,0.0000,150.0590,29.461,4502,0.011687,2.345
0.0000,0.0000,230.7714,23.326,1042,0.014408,2.346
0.0000,0.0000,234.7663,23.791,1657,0.015786,2.225
0.0000,0.0000,232.7683,23.858,2365,0.015647,2.212
0.0000,0.0000,230.7704,23.206,1056,0.012299,2.156
0.0000,0.0000,234.7660,23.548,1163,0.015284,2.337
0.0000,0.0000,232.7709,23.249,1972,0.0142,2.175
0.0000,0.0000,134.8688,20.107,911,0.012734,1.753
0.0000,0.0000,230.7706,23.484,950,0.013198,2.239
0.0000,0.0000,234.7646,23.553,1423,0.014128,2.192
0.0000,0.0000,232.7679,23.735,1802,0.015154,2.251
0.0000,0.0000,230.7715,23.822,1000,0.01777,2.203
0.0000,0.0000,232.7689,23.889,1697,0.017089,2.139
0.0000,0.0000,234.7661,23.939,1728,0.012806,1.847
0.0000,0.0000,230.7718,23.646,1120,0.013647,2.256
0.0000,0.0000,234.7666,23.599,1514,0.014549,2.404
0.0000,0.0000,232.7694,23.395,2044,0.013839,2.261
0.0000,0.0000,234.7673,23.851,822,0.016809,2.494
0.0000,0.0000,230.7715,23.329,898,0.016251,2.211
0.0000,0.0000,232.7690,23.307,1950,0.015625,2.227
0.0000,0.0000,236.7628,23.818,822,0.012761,1.757
0.0000,0.0000,230.7705,23.767,1339,0.013271,2.087
0.0000,0.0000,234.7673,23.864,1914,0.013178,1.952
0.0000,0.0000,232.7668,23.845,2387,0.015249,2.284
0.0000,0.0000,230.7704,24.113,1210,0.014326,1.952
0.0000,0.0000,232.7690,24.002,1654,0.01558,2.671
0.0000,0.0000,234.7676,24.377,1704,0.014134,2.585
0.0000,0.0000,466.1970,80.126,331,0.033839,2.427
0.0000,0.0000,759.4225,133.661,346,0.036116,1.764
0.0000,0.0000,416.1674,71.489,413,0.032424,2.460
0.0000,0.0000,462.1607,77.980,417,0.032551,3.286
0.0000,0.0000,480.1115,75.175,521,0.037718,3.587
0.0000,0.0000,779.4071,159.325,522,0.04136,2.168
0.0000,0.0000,440.1278,69.799,536,0.0239,3.659
0.0000,0.0000,378.7459,67.419,603,0.020813,2.629
0.0000,0.0000,400.1918,70.038,648,0.025858,2.986
0.0000,0.0000,819.3412,164.435,688,0.030933,2.946
0.0000,0.0000,795.3796,163.800,689,0.038465,4.486
0.0000,0.0000,479.1141,75.745,1264,0.025193,2.976
0.0000,0.0000,758.4342,135.190,1640,0.042176,4.869
0.0000,0.0000,477.1187,75.687,1991,0.019046,2.482
0.0000,0.0000,380.2177,67.238,2498,0.023425,2.701
0.0000,0.0000,378.4448,67.405,2551,0.015954,2.642
0.0000,0.0000,555.2766,89.648,2640,0.025178,3.550
0.0000,0.0000,378.3200,67.356,3809,0.017978,2.662
0.0000,0.0000,757.4273,135.220,4014,0.032243,5.159
0.0000,0.0000,478.1088,75.749,4644,0.023792,3.373
0.0000,0.0000,476.1113,75.607,5685,0.022696,3.349
0.0000,0.0000,554.2730,89.842,6073,0.026655,3.723
0.0000,0.0000,379.2131,67.424,18700,0.019234,2.844
0.0000,0.0000,378.2129,67.332,75263,0.017882,3.118
0.0000,0.0000,758.4254,136.107,320,0.035123,2.495
0.0000,0.0000,416.1646,72.755,459,0.018732,2.794
0.0000,0.0000,480.1049,76.019,474,0.027839,3.067
0.0000,0.0000,462.1649,78.840,477,0.025903,3.240
0.0000,0.0000,479.1115,76.444,529,0.02542,3.102
0.0000,0.0000,440.1389,70.486,545,0.029592,2.719
0.0000,0.0000,757.4355,135.439,592,0.035541,2.498
0.0000,0.0000,400.1930,69.995,636,0.031378,2.675
0.0000,0.0000,477.1176,75.334,648,0.028886,2.614
0.0000,0.0000,378.4453,67.741,1276,0.015778,2.262
0.0000,0.0000,380.2175,67.782,1347,0.021703,3.004
0.0000,0.0000,378.3214,67.794,2169,0.018091,2.488
0.0000,0.0000,478.1122,75.827,2531,0.023735,3.000
0.0000,0.0000,476.1129,75.797,2859,0.027352,3.173
0.0000,0.0000,379.2143,67.774,9937,0.017797,2.949
0.0000,0.0000,378.2132,67.701,51183,0.017353,2.738
0.0000,0.0000,134.8707,20.604,560,0.013229,3.091
0.0000,0.0000,234.7668,23.933,1456,0.015356,2.038
0.0000,0.0000,232.7702,23.619,1631,0.014893,2.129
0.0000,0.0000,379.2119,67.901,1844,0.017017,2.416
0.0000,0.0000,378.2107,68.001,8921,0.018847,2.914
0.0000,0.0000,230.7713,23.794,1125,0.01268,1.999
0.0000,0.0000,234.7657,23.833,1318,0.013936,2.117
0.0000,0.0000,232.7699,23.875,1539,0.014822,2.269
0.0000,0.0000,378.2141,68.057,1908,0.020763,1.952
0.0000,0.0000,230.7717,23.866,871,0.01459,2.746
0.0000,0.0000,234.7653,23.290,1234,0.013879,2.026
0.0000,0.0000,232.7693,23.263,1866,0.015044,1.964
0.0000,0.0000,134.8696,20.252,887,0.014141,1.830
0.0000,0.0000,230.7721,23.634,946,0.015061,2.131
0.0000,0.0000,234.7646,23.715,1167,0.014701,2.108
0.0000,0.0000,232.7658,23.815,1825,0.014149,2.031
0.0000,0.0000,234.7670,23.868,826,0.015562,2.321
0.0000,0.0000,232.7668,23.771,1093,0.016596,2.102
0.0000,0.0000,134.8680,20.230,1096,0.0097317,1.954
0.0000,0.0000,230.7706,23.879,766,0.018156,2.334
0.0000,0.0000,134.8682,20.094,880,0.010788,2.564
0.0000,0.0000,234.7656,23.556,966,0.016359,2.469
0.0000,0.0000,232.7689,23.697,1619,0.014645,2.135
0.0000,0.0000,230.7700,23.322,800,0.015711,2.024
0.0000,0.0000,198.0384,34.000,971,0.013959,2.325
0.0000,0.0000,234.7668,23.342,1354,0.013562,2.329
0.0000,0.0000,232.7676,23.386,1671,0.014557,2.167
0.0000,0.0000,236.7650,23.961,680,0.014342,2.072
0.0000,0.0000,230.7668,23.932,727,0.015749,2.209
0.0000,0.0000,234.7666,23.863,1407,0.013591,1.836
0.0000,0.0000,232.7680,23.810,1773,0.015575,2.296
0.0000,0.0000,232.7684,23.636,1068,0.015796,2.788
0.0000,0.0000,234.7671,23.861,1080,0.015861,2.659
0.0000,0.0000,230.7714,23.585,653,0.017532,2.261
0.0000,0.0000,246.0928,45.718,832,0.014616,1.958
0.0000,0.0000,232.7660,23.342,1099,0.015966,2.183
0.0000,0.0000,234.7658,23.586,1258,0.013406,2.318
0.0000,0.0000,230.7709,23.427,670,0.016218,2.261
0.0000,0.0000,234.7650,23.695,1385,0.016061,1.922
0.0000,0.0000,232.7669,23.401,1506,0.014907,1.996
0.0000,0.0000,230.7744,23.915,641,0.015923,2.144
0.0000,0.0000,234.7663,23.933,1728,0.013778,1.902
0.0000,0.0000,232.7703,23.999,2589,0.014418,1.948
0.0000,0.0000,230.7707,23.256,816,0.012473,2.256
0.0000,0.0000,234.7679,23.774,972,0.016873,2.246
0.0000,0.0000,232.7691,23.345,1808,0.015041,2.433
0.0000,0.0000,236.7664,23.377,629,0.016312,1.969
0.0000,0.0000,230.7708,23.172,803,0.016526,2.182
0.0000,0.0000,234.7676,23.713,1677,0.013944,2.154
0.0000,0.0000,232.7699,23.513,2049,0.015205,2.293
0.0000,0.0000,230.7726,23.649,615,0.016546,2.147
0.0000,0.0000,234.7665,23.634,1300,0.014802,2.089
0.0000,0.0000,232.7697,23.767,1746,0.015104,2.315
0.0000,0.0000,230.7718,23.999,914,0.01433,2.251
0.0000,0.0000,232.7694,24.116,1915,0.014536,2.257
0.0000,0.0000,234.7666,24.059,2308,0.012919,1.838
0.0000,0.0000,230.7693,23.255,826,0.013739,1.844
0.0000,0.0000,234.7652,23.216,1407,0.014587,2.038
0.0000,0.0000,232.7697,23.349,1590,0.01487,2.342
0.0000,0.0000,236.7638,23.570,691,0.014043,2.460
0.0000,0.0000,230.7689,23.507,749,0.017281,2.067
0.0000,0.0000,232.7708,23.450,1875,0.013123,2.105
